ID,Email,Titulo,Universidade,Autores,Apoio,Conflito
AO0001,,"Conjugado de ftalocianina com nanopartículas de quitosana: síntese, caracterização e fotoinativação de biofilmes de <em>S. mutans</em>","Odontologia Restauradora - UNIVERSIDADE DE SÃO PAULO - RIBEIRÃO PRETO.","Cavalcante LLR*, Tedesco AC, Curylofo-Zotti FA, Souza-Gabriel AE, Corona SAM","<em>(Apoio: CAPES | FAPESP N° 2019/05965-0)</em>","Não há conflito de interesse"
AO0002,,"Influência de uma barreira catalizadora dupla na eficácia clareadora e citotoxicidade de um gel com 35% de H2O2 aplicado por variados tempos","Prótese e Materiais Dentais - UNIVERSIDADE ESTADUAL PAULISTA - ARARAQUARA.","Zuta UO*, Duque CCO, Ribeiro RAO, Leite MLAS, Soares DG, Hebling J, De-Souza-costa CA",,"Não há conflito de interesse"
AO0003,,"Fibras ultrafinas de PCL associadas ao biovidro dopado: um novo biomaterial para engenharia tecidual","Materiais Odontológicos e Prótese - INSTITUTO DE CIÊNCIA E TECNOLOGIA / ICT-UNESP-SJC.","Kukulka EC*, De Souza JR, Campos TMB, Prado RF, Carvalho LM, Villa-Diaz L, Timilsina S, Borges ALS","<em>(Apoio: CAPES)</em>","Não há conflito de interesse"
AO0004,,"Efeito da escovação na resistência ao desgaste de dois tipos de zircônia monolítica","Dmdp - UNIVERSIDADE DE SÃO PAULO - RIBEIRÃO PRETO.","Simionato AA*, Rodrigues RCS, Macedo AP, Ribeiro RF, Faria ACL","<em>(Apoio: FAPESP N° 2017/15470-3)</em>","Não há conflito de interesse"
AO0005,,"Transmissão de luz em diferentes comprimentos de onda através de materiais restauradores indiretos CAD/CAM com diferentes espessuras","Materiais Dentários - FACULDADE DE ODONTOLOGIA DE PIRACICABA.","Castro EF*, Rueggeberg FA, Azevedo VLB, Andrade OS, Giannini M","<em>(Apoio: CAPES N° 001)</em>","Não há conflito de interesse"
AO0006,,"Propriedades biológicas de biocerâmico reparador Bio-C Pulpo","Odontologia Restauradora - UNIVERSIDADE ESTADUAL PAULISTA - ARARAQUARA.","Campi LB*, Rodrigues EM, Torres FFE, Reis JMSN, Leonardo RT, Guerreiro-Tanomaru JM, Tanomaru-Filho M","<em>(Apoio: CAPES N° 001 | FAPs - Fapesp N° 2017/19049-0, 2018/25364-9 )</em>","Não há conflito de interesse"
AO0007,,"Avaliação das propriedades de resinas experimentais e o efeito de diferentes concentrações e funcionalizações de nanoestruturas de TiO","Dentística - UNIVERSIDADE DE SÃO PAULO - BAURU.","Guimarães GMF*, Bronze-Uhle ES, Lisboa Filho PN, Fugolin APP, Borges AFS, Gonzaga CC, Pfeifer CSC, Furuse AY","<em>(Apoio: FAPESP N° 2017/23331-3)</em>","Não há conflito de interesse"
AO0008,,"A incorporação de nanotubos de dióxido de titânio ao cimento de ionômero de vidro interfere na liberação de alumínio?","Dentística - UNIVERSIDADE DE SÃO PAULO - BAURU.","Morais AMS*, Pecorari VGA, Gomes OP, Vieira-Junior WF, Peruzzo DC, Tabchoury CPM, Lisboa Filho PN, Kantovitz KR",,"Não há conflito de interesse"
AO0009,,"Efeito de diferentes níveis de magnificação da lupa Galilean sobre a postura de trabalho e atividade muscular em condição clínica simulada","Odontologia Social - UNIVERSIDADE ESTADUAL PAULISTA - ARARAQUARA.","Pazos JM*, Regalo SCH, Vasconcelos PB, Garcia PPNS","<em>(Apoio: FAPs - Bolsa de mestrado FAPESP  N° 2019/02328-0)</em>","Não há conflito de interesse"
AO0010,,"Avaliação do desgaste fisiológico da camada de caracterização aplicada sobre cerâmicas odontológicas","Prótese Dentária - INSTITUTO DE CIÊNCIA E TECNOLOGIA / ICT-UNESP-SJC.","Matos JDM*, Lopes GRS, Silveira MPM, Grangeiro MTV, Tribst JPM, Ramos NC, Anami LC, Bottino MA","<em>(Apoio: 2018/04454-0 N° FAPESP)</em>","Não há conflito de interesse"
AO0011,,"Avaliação clínica longitudinal do clareamento dental de consultório com luz LED violeta (405-410 nm): resultados preliminares","Dentística - UNIVERSIDADE DE SÃO PAULO - SÃO PAULO.","Santos EM*, Silva BB, Twiaschor CV, Brugnera Junior A, Zanin FAA, Shimokawa CAK, Freitas PM","<em>(Apoio: FAPs - FAPESP N° 2016/24126-1)</em>","Não há conflito de interesse"
AO0013,,"Influência de diferentes tratamentos de superfície na resistência de união adesiva de coroas de ZrO2 translúcida na estrutura dentária","Materiais Odontológicos e Prótese - UNIVERSIDADE ESTADUAL PAULISTA - ARAÇATUBA.","Souza JPV*, Monteiro RV, DeSouza GM, Santos DM, Goiato MC, Bernardon JK","<em>(Apoio: CAPES)</em>","Não há conflito de interesse"
